HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Ensembl ID(supplied by Ensembl)
HGNC:25989	CWC25	CWC25 spliceosome associated protein homolog	CCDC49	FLJ20291	ENSG00000273559
HGNC:10664	CWC27	CWC27 spliceosome associated protein homolog	SDCCAG10	NY-CO-10, SDCCAG-10	ENSG00000153015
HGNC:25613	CWF19L1	CWF19 like 1, cell cycle control (S. pombe)		FLJ10998, hDrn1	ENSG00000095485
HGNC:26508	CWF19L2	CWF19 like 2, cell cycle control (S. pombe)		FLJ32343	ENSG00000152404
HGNC:26133	CWH43	cell wall biogenesis 43 C-terminal homolog		FLJ21511, CWH43-C, PGAP2IP	ENSG00000109182
HGNC:10647	CX3CL1	C-X3-C motif chemokine ligand 1	SCYD1	NTN, C3Xkine, ABCD-3, CXC3C, CXC3, fractalkine, neurotactin	ENSG00000006210
HGNC:2558	CX3CR1	C-X3-C motif chemokine receptor 1	GPR13, CMKBRL1	CMKDR1, V28, CCRL1	ENSG00000168329
HGNC:2559	CXADR	CXADR, Ig-like cell adhesion molecule		CAR	ENSG00000154639
HGNC:4602	CXCL1	C-X-C motif chemokine ligand 1	MGSA, GRO1, FSP	SCYB1, GROa, MGSA-a, NAP-3	ENSG00000163739
HGNC:4603	CXCL2	C-X-C motif chemokine ligand 2	GRO2	SCYB2, GROb, MIP-2a, MGSA-b, CINC-2a	ENSG00000081041
HGNC:4604	CXCL3	C-X-C motif chemokine ligand 3	GRO3	SCYB3, GROg, MIP-2b, CINC-2b	ENSG00000163734
HGNC:10642	CXCL5	C-X-C motif chemokine ligand 5	SCYB5	ENA-78	ENSG00000163735
HGNC:10643	CXCL6	C-X-C motif chemokine ligand 6	SCYB6	GCP-2, CKA-3	ENSG00000124875
HGNC:6025	CXCL8	C-X-C motif chemokine ligand 8	IL8	SCYB8, LUCT, LECT, MDNCF, TSG-1, IL-8, NAP-1, 3-10C, MONAP, AMCF-I, LYNAP, NAF, b-ENAP, GCP-1, K60, GCP1, NAP1	ENSG00000169429
HGNC:7098	CXCL9	C-X-C motif chemokine ligand 9	CMK, MIG	SCYB9, Humig, crg-10	ENSG00000138755
HGNC:10637	CXCL10	C-X-C motif chemokine ligand 10	INP10, SCYB10	IFI10, IP-10, crg-2, mob-1, C7, gIP-10	ENSG00000169245
HGNC:10638	CXCL11	C-X-C motif chemokine ligand 11	SCYB9B, SCYB11	H174, b-R1, I-TAC, IP-9	ENSG00000169248
HGNC:10672	CXCL12	C-X-C motif chemokine ligand 12	SDF1A, SDF1B, SDF1	SCYB12, SDF-1a, SDF-1b, PBSF, TLSF-a, TLSF-b, TPAR1	ENSG00000107562
HGNC:10639	CXCL13	C-X-C motif chemokine ligand 13	SCYB13	BLC, BCA-1, BLR1L, ANGIE, ANGIE2	ENSG00000156234
HGNC:10640	CXCL14	C-X-C motif chemokine ligand 14	SCYB14	BRAK, NJAC, bolekine, Kec, MIP-2g, BMAC, KS1	ENSG00000145824
HGNC:16642	CXCL16	C-X-C motif chemokine ligand 16		SR-PSOX, CXCLG16, SRPSOX	ENSG00000161921
HGNC:19232	CXCL17	C-X-C motif chemokine ligand 17		Dcip1, UNQ473, DMC, VCC1	ENSG00000189377
HGNC:6026	CXCR1	C-X-C motif chemokine receptor 1	CMKAR1, IL8RA	CKR-1, CDw128a, CD181	ENSG00000163464
HGNC:6027	CXCR2	C-X-C motif chemokine receptor 2	IL8RB	CMKAR2, CD182	ENSG00000180871
HGNC:4540	CXCR3	C-X-C motif chemokine receptor 3	GPR9	CKR-L2, CMKAR3, IP10-R, MigR, CD183	ENSG00000186810
HGNC:2561	CXCR4	C-X-C motif chemokine receptor 4		LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184	ENSG00000121966
HGNC:1060	CXCR5	C-X-C motif chemokine receptor 5	BLR1	MDR15, CD185	ENSG00000160683
HGNC:16647	CXCR6	C-X-C motif chemokine receptor 6		TYMSTR, STRL33, BONZO, CD186	ENSG00000172215
HGNC:25667	CXorf21	chromosome X open reading frame 21		FLJ11577	ENSG00000120280
HGNC:25866	CXorf36	chromosome X open reading frame 36		FLJ14103, DIA1R	ENSG00000147113
HGNC:28589	CXorf38	chromosome X open reading frame 38		MGC39350	ENSG00000185753
HGNC:28089	CXorf40A	chromosome X open reading frame 40A	CXorf40	EOLA1	ENSG00000197620
HGNC:17402	CXorf40B	chromosome X open reading frame 40B			ENSG00000197021
HGNC:30891	CXorf49	chromosome X open reading frame 49			ENSG00000215115
HGNC:34229	CXorf49B	chromosome X open reading frame 49B			ENSG00000215113
HGNC:30533	CXorf51A	chromosome X open reading frame 51A	CXorf51		ENSG00000224440
HGNC:42787	CXorf51B	chromosome X open reading frame 51B			ENSG00000235699
HGNC:26239	CXorf56	chromosome X open reading frame 56		FLJ22965	ENSG00000018610
HGNC:25486	CXorf57	chromosome X open reading frame 57		FLJ14191, FLJ10178	ENSG00000147231
HGNC:26356	CXorf58	chromosome X open reading frame 58		FLJ25444	ENSG00000165182
HGNC:33713	CXorf65	chromosome X open reading frame 65			ENSG00000204165
HGNC:33743	CXorf66	chromosome X open reading frame 66		RP11-35F15.2, SGPX	ENSG00000203933
HGNC:33738	CXorf67	chromosome X open reading frame 67			ENSG00000187690
HGNC:24343	CXXC1	CXXC finger protein 1		HsT2645, PCCX1, hCGBP, PHF18, CGBP, SPP1, CFP1, ZCGPC1	ENSG00000154832
HGNC:24593	CXXC4	CXXC finger protein 4		IDAX	ENSG00000168772
HGNC:26943	CXXC5	CXXC finger protein 5		HSPC195, RINF, WID	ENSG00000171604
HGNC:2570	CYB5A	cytochrome b5 type A	CYB5		ENSG00000166347
HGNC:24374	CYB5B	cytochrome b5 type B		CYB5-M	ENSG00000103018
HGNC:26516	CYB5D1	cytochrome b5 domain containing 1		FLJ32499	ENSG00000182224
HGNC:28471	CYB5D2	cytochrome b5 domain containing 2		MGC32124	ENSG00000167740
HGNC:13397	CYB5R1	cytochrome b5 reductase 1	NQO3A2	humb5R2	ENSG00000159348
HGNC:24376	CYB5R2	cytochrome b5 reductase 2			ENSG00000166394
HGNC:2873	CYB5R3	cytochrome b5 reductase 3	DIA1		ENSG00000100243
HGNC:20147	CYB5R4	cytochrome b5 reductase 4	NCB5OR	b5+b5R, dJ676J13.1	ENSG00000065615
HGNC:32220	CYB5RL	cytochrome b5 reductase like		LOC606495	ENSG00000215883
HGNC:2571	CYB561	cytochrome b561		FRRS2, CYB561A1	ENSG00000008283
HGNC:23014	CYB561A3	cytochrome b561 family member A3	CYBASC3		ENSG00000162144
HGNC:26804	CYB561D1	cytochrome b561 family member D1		FLJ39035, FLJ44753	ENSG00000174151
HGNC:30253	CYB561D2	cytochrome b561 family member D2		101F6, TSP10	ENSG00000114395
HGNC:2577	CYBA	cytochrome b-245 alpha chain		p22-PHOX	ENSG00000051523
HGNC:2578	CYBB	cytochrome b-245 beta chain	CGD	GP91-PHOX, NOX2	ENSG00000165168
HGNC:28672	CYBC1	cytochrome b-245 chaperone 1	C17orf62	MGC4368, FLJ90469, Eros	ENSG00000178927
HGNC:20797	CYBRD1	cytochrome b reductase 1		DCYTB, FLJ23462, FRRS3, CYB561A2	ENSG00000071967
HGNC:2579	CYC1	cytochrome c1		UQCR4	ENSG00000179091
HGNC:19986	CYCS	cytochrome c, somatic		HCS, CYC	ENSG00000172115
HGNC:13759	CYFIP1	cytoplasmic FMR1 interacting protein 1		KIAA0068, P140SRA-1, SHYC	ENSG00000273749
HGNC:13760	CYFIP2	cytoplasmic FMR1 interacting protein 2		PIR121	ENSG00000055163
HGNC:16505	CYGB	cytoglobin		HGB, STAP	ENSG00000161544
HGNC:17806	CYHR1	cysteine and histidine rich 1		CHRP, KIAA0496, MGC13010	ENSG00000187954
HGNC:2582	CYLC1	cylicin 1			ENSG00000183035
HGNC:2583	CYLC2	cylicin 2			ENSG00000155833
HGNC:2584	CYLD	CYLD lysine 63 deubiquitinase	CYLD1	KIAA0849, USPL2	ENSG00000083799
HGNC:2595	CYP1A1	cytochrome P450 family 1 subfamily A member 1	CYP1	P450DX, P1-450, P450-C, CP11	ENSG00000140465
HGNC:2596	CYP1A2	cytochrome P450 family 1 subfamily A member 2		P3-450, CP12	ENSG00000140505
HGNC:2597	CYP1B1	cytochrome P450 family 1 subfamily B member 1	GLC3A	CP1B	ENSG00000138061
HGNC:2610	CYP2A6	cytochrome P450 family 2 subfamily A member 6	CYP2A3	CPA6, CYP2A	ENSG00000255974
HGNC:2611	CYP2A7	cytochrome P450 family 2 subfamily A member 7		CYP2A	ENSG00000198077
HGNC:2608	CYP2A13	cytochrome P450 family 2 subfamily A member 13		CPAD, CYP2A	ENSG00000197838
HGNC:2615	CYP2B6	cytochrome P450 family 2 subfamily B member 6	CYP2B	CPB6, CYPIIB6	ENSG00000197408
HGNC:2622	CYP2C8	cytochrome P450 family 2 subfamily C member 8		CPC8	ENSG00000138115
HGNC:2623	CYP2C9	cytochrome P450 family 2 subfamily C member 9	CYP2C10	P450IIC9	ENSG00000138109
HGNC:2620	CYP2C18	cytochrome P450 family 2 subfamily C member 18	CYP2C17	P450IIC17, CPCI, CYP2C	ENSG00000108242
HGNC:2621	CYP2C19	cytochrome P450 family 2 subfamily C member 19	CYP2C	P450IIC19, CPCJ	ENSG00000165841
HGNC:2625	CYP2D6	cytochrome P450 family 2 subfamily D member 6	CYP2DL1, CYP2D7P2, CYP2D7BP, CYP2D8P2, CYP2D7AP	CPD6, P450-DB1, CYP2D, P450C2D	ENSG00000100197
HGNC:2624	CYP2D7	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)	CYP2D, CYP2D@, CYP2D7P1, CYP2D7P		ENSG00000205702
HGNC:2631	CYP2E1	cytochrome P450 family 2 subfamily E member 1	CYP2E		ENSG00000130649
HGNC:2632	CYP2F1	cytochrome P450 family 2 subfamily F member 1	CYP2F		ENSG00000197446
HGNC:2634	CYP2J2	cytochrome P450 family 2 subfamily J member 2			ENSG00000134716
HGNC:20580	CYP2R1	cytochrome P450 family 2 subfamily R member 1			ENSG00000186104
HGNC:15654	CYP2S1	cytochrome P450 family 2 subfamily S member 1			ENSG00000167600
HGNC:20582	CYP2U1	cytochrome P450 family 2 subfamily U member 1		SPG49	ENSG00000155016
HGNC:20243	CYP2W1	cytochrome P450 family 2 subfamily W member 1		FLJ20359, MGC34287	ENSG00000073067
HGNC:2637	CYP3A4	cytochrome P450 family 3 subfamily A member 4	CYP3A3		ENSG00000160868
HGNC:2638	CYP3A5	cytochrome P450 family 3 subfamily A member 5		PCN3, P450PCN3, CP35	ENSG00000106258
HGNC:2640	CYP3A7	cytochrome P450 family 3 subfamily A member 7		CP37, P450-HFLA	ENSG00000160870
HGNC:17450	CYP3A43	cytochrome P450 family 3 subfamily A member 43			ENSG00000021461
HGNC:2642	CYP4A11	cytochrome P450 family 4 subfamily A member 11	CYP4A2	CYP4AII	ENSG00000187048
HGNC:20575	CYP4A22	cytochrome P450 family 4 subfamily A member 22			ENSG00000162365
HGNC:2644	CYP4B1	cytochrome P450 family 4 subfamily B member 1			ENSG00000142973
HGNC:2645	CYP4F2	cytochrome P450 family 4 subfamily F member 2			ENSG00000186115
HGNC:2646	CYP4F3	cytochrome P450 family 4 subfamily F member 3	LTB4H	CYP4F	ENSG00000186529
HGNC:2648	CYP4F8	cytochrome P450 family 4 subfamily F member 8			ENSG00000186526
HGNC:13265	CYP4F11	cytochrome P450 family 4 subfamily F member 11			ENSG00000171903
HGNC:18857	CYP4F12	cytochrome P450 family 4 subfamily F member 12			ENSG00000186204
HGNC:26820	CYP4F22	cytochrome P450 family 4 subfamily F member 22		FLJ39501	ENSG00000171954
HGNC:23198	CYP4V2	cytochrome P450 family 4 subfamily V member 2		CYP4AH1	ENSG00000145476
HGNC:20244	CYP4X1	cytochrome P450 family 4 subfamily X member 1		MGC40051	ENSG00000186377
HGNC:20583	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1		CYP4A20	ENSG00000186160
HGNC:2651	CYP7A1	cytochrome P450 family 7 subfamily A member 1	CYP7		ENSG00000167910
HGNC:2652	CYP7B1	cytochrome P450 family 7 subfamily B member 1	SPG5A		ENSG00000172817
HGNC:2653	CYP8B1	cytochrome P450 family 8 subfamily B member 1		CYP12	ENSG00000180432
HGNC:2590	CYP11A1	cytochrome P450 family 11 subfamily A member 1	CYP11A	P450SCC	ENSG00000140459
HGNC:2591	CYP11B1	cytochrome P450 family 11 subfamily B member 1	CYP11B	P450C11, FHI, CPN1	ENSG00000160882
HGNC:2592	CYP11B2	cytochrome P450 family 11 subfamily B member 2	CYP11B	CYP11BL, CPN2, P-450C18, P450aldo, ALDOS	ENSG00000179142
HGNC:2593	CYP17A1	cytochrome P450 family 17 subfamily A member 1	CYP17	P450C17, CPT7, S17AH	ENSG00000148795
HGNC:2594	CYP19A1	cytochrome P450 family 19 subfamily A member 1	CYP19	ARO, P-450AROM, CPV1, ARO1, CYAR, aromatase	ENSG00000137869
HGNC:20576	CYP20A1	cytochrome P450 family 20 subfamily A member 1		CYP-M	ENSG00000119004
HGNC:2600	CYP21A2	cytochrome P450 family 21 subfamily A member 2	CYP21, CYP21B	P450c21B, CA21H, CPS1, CAH1	ENSG00000231852
HGNC:2602	CYP24A1	cytochrome P450 family 24 subfamily A member 1	CYP24	CP24, P450-CC24	ENSG00000019186
HGNC:2603	CYP26A1	cytochrome P450 family 26 subfamily A member 1		P450RAI, CP26, CYP26, P450RAI1	ENSG00000095596
HGNC:20581	CYP26B1	cytochrome P450 family 26 subfamily B member 1		P450RAI-2	ENSG00000003137
HGNC:20577	CYP26C1	cytochrome P450 family 26 subfamily C member 1			ENSG00000187553
HGNC:2605	CYP27A1	cytochrome P450 family 27 subfamily A member 1	CYP27	CTX, CP27	ENSG00000135929
HGNC:2606	CYP27B1	cytochrome P450 family 27 subfamily B member 1	VDD1, PDDR	CYP1, P450c1	ENSG00000111012
HGNC:33480	CYP27C1	cytochrome P450 family 27 subfamily C member 1		FLJ16008	ENSG00000186684
HGNC:17449	CYP39A1	cytochrome P450 family 39 subfamily A member 1			ENSG00000146233
HGNC:2641	CYP46A1	cytochrome P450 family 46 subfamily A member 1	CYP46		ENSG00000036530
HGNC:2649	CYP51A1	cytochrome P450 family 51 subfamily A member 1	CYP51	CP51, CYPL1, P450L1, LDM, P450-14DM	ENSG00000001630
HGNC:2654	CYR61	cysteine rich angiogenic inducer 61	IGFBP10	GIG1, CCN1	ENSG00000142871
HGNC:22432	CYREN	cell cycle regulator of NHEJ	C7orf49	MGC5242, FLJ27285, FLJ22450, MRI, MRI-2	ENSG00000122783
HGNC:18525	CYS1	cystin 1			ENSG00000205795
HGNC:17451	CYSLTR1	cysteinyl leukotriene receptor 1		CysLT1, CysLT(1), CYSLT1R	ENSG00000173198
HGNC:18274	CYSLTR2	cysteinyl leukotriene receptor 2		CysLT(2), CYSLT2R	ENSG00000152207
HGNC:30529	CYSRT1	cysteine rich tail 1	C9orf169	MGC59937	ENSG00000197191
HGNC:30239	CYSTM1	cysteine rich transmembrane module containing 1	C5orf32	ORF1-FL49	ENSG00000120306
HGNC:9501	CYTH1	cytohesin 1	PSCD1	B2-1, D17S811E, cytohesin-1	ENSG00000108669
HGNC:9502	CYTH2	cytohesin 2	PSCD2L, PSCD2	CTS18.1, Sec7p-L, ARNO, Sec7p-like, cytohesin-2	ENSG00000105443
HGNC:9504	CYTH3	cytohesin 3	PSCD3	GRP1, ARNO3, cytohesin-3	ENSG00000008256
HGNC:9505	CYTH4	cytohesin 4	PSCD4	CYT4, cytohesin-4	ENSG00000100055
HGNC:9506	CYTIP	cytohesin 1 interacting protein	PSCDBP	B3-1, HE, CYBR, CASP, CYTHIP	ENSG00000115165
HGNC:24435	CYTL1	cytokine like 1		C17, C4orf4	ENSG00000170891
HGNC:16274	CYYR1	cysteine and tyrosine rich 1	C21orf95		ENSG00000166265
HGNC:28358	D2HGDH	D-2-hydroxyglutarate dehydrogenase		MGC25181, D2HGD, FLJ42195	ENSG00000180902
HGNC:18142	DAAM1	dishevelled associated activator of morphogenesis 1		KIAA0666	ENSG00000100592
HGNC:18143	DAAM2	dishevelled associated activator of morphogenesis 2		KIAA0381	ENSG00000146122
HGNC:2661	DAB1	DAB1, reelin adaptor protein			ENSG00000173406
HGNC:2662	DAB2	DAB2, clathrin adaptor protein		DOC-2	ENSG00000153071
HGNC:17294	DAB2IP	DAB2 interacting protein		AF9Q34, DIP1/2, KIAA1743, AIP1	ENSG00000136848
HGNC:2663	DACH1	dachshund family transcription factor 1	DACH		ENSG00000276644
HGNC:16814	DACH2	dachshund family transcription factor 2			ENSG00000126733
HGNC:17748	DACT1	dishevelled binding antagonist of beta catenin 1		DAPPER1, THYEX3, HDPR1, DAPPER, FRODO	ENSG00000165617
HGNC:21231	DACT2	dishevelled binding antagonist of beta catenin 2	C6orf116	bA503C24.7, DAPPER2	ENSG00000164488
HGNC:30745	DACT3	dishevelled binding antagonist of beta catenin 3	RRR1	MGC15476, DAPPER3	ENSG00000197380
HGNC:2664	DAD1	defender against cell death 1		OST2	ENSG00000129562
HGNC:2666	DAG1	dystroglycan 1		A3a, 156DAG, AGRNR, DAG	ENSG00000173402
HGNC:1165	DAGLA	diacylglycerol lipase alpha	C11orf11	KIAA0659, NSDDR, DAGLALPHA	ENSG00000134780
HGNC:28923	DAGLB	diacylglycerol lipase beta		KCCR13L, DAGLBETA	ENSG00000164535
HGNC:25536	DALRD3	DALR anticodon binding domain containing 3		FLJ10496	ENSG00000178149
HGNC:26780	DAND5	DAN domain BMP antagonist family member 5		FLJ38607, CKTSF1B3, DANTE, GREM3, CER2, DTE, Coco	ENSG00000179284
HGNC:2671	DAO	D-amino acid oxidase		DAMOX	ENSG00000110887
HGNC:21191	DAOA	D-amino acid oxidase activator		G72	ENSG00000182346
HGNC:2672	DAP	death associated protein			ENSG00000112977
HGNC:2673	DAP3	death associated protein 3		MRPS29, DAP-3, MRP-S29, bMRP-10, MGC126058, MGC126059, DKFZp686G12159	ENSG00000132676
HGNC:2674	DAPK1	death associated protein kinase 1		DAPK, ROCO3	ENSG00000196730
HGNC:2675	DAPK2	death associated protein kinase 2		DRP-1, MGC119312	ENSG00000035664
HGNC:2676	DAPK3	death associated protein kinase 3		ZIP, ZIPK	ENSG00000167657
HGNC:21490	DAPL1	death associated protein like 1			ENSG00000163331
HGNC:16500	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1		BAM32	ENSG00000070190
HGNC:2678	DARS	aspartyl-tRNA synthetase			ENSG00000115866
HGNC:25538	DARS2	aspartyl-tRNA synthetase 2, mitochondrial		FLJ10514	ENSG00000117593
HGNC:26383	DAW1	dynein assembly factor with WD repeats 1	WDR69	FLJ25955, ODA16	ENSG00000123977
HGNC:2681	DAXX	death domain associated protein		DAP6	ENSG00000204209
HGNC:2682	DAZ1	deleted in azoospermia 1	DAZ	SPGY	ENSG00000188120
HGNC:15964	DAZ2	deleted in azoospermia 2		pDP1678, MGC126442	ENSG00000205944
HGNC:15965	DAZ3	deleted in azoospermia 3			ENSG00000187191
HGNC:15966	DAZ4	deleted in azoospermia 4			ENSG00000205916
HGNC:2683	DAZAP1	DAZ associated protein 1		MGC19907	ENSG00000071626
HGNC:2684	DAZAP2	DAZ associated protein 2		KIAA0058	ENSG00000183283
HGNC:2685	DAZL	deleted in azoospermia like	DAZLA	DAZH, SPGYLA, MGC26406, DAZL1	ENSG00000092345
HGNC:17364	DBF4	DBF4 zinc finger		ASK, chif, ZDBF1, DBF4A	ENSG00000006634
HGNC:17883	DBF4B	DBF4 zinc finger B		FLJ13087, DRF1, ASKL1, chifb, ZDBF1B	ENSG00000161692
HGNC:2689	DBH	dopamine beta-hydroxylase		DBM	ENSG00000123454
HGNC:2690	DBI	diazepam binding inhibitor, acyl-CoA binding protein		ACBP, ACBD1	ENSG00000155368
HGNC:2695	DBN1	drebrin 1	D0S117E		ENSG00000113758
HGNC:28455	DBNDD1	dysbindin domain containing 1		MGC3101, FLJ12582	ENSG00000003249
HGNC:15881	DBNDD2	dysbindin domain containing 2	C20orf35	HSMNP1	ENSG00000244274
HGNC:2696	DBNL	drebrin like		SH3P7, HIP-55, ABP1	ENSG00000136279
HGNC:2697	DBP	D-box binding PAR bZIP transcription factor		DABP	ENSG00000105516
HGNC:15594	DBR1	debranching RNA lariats 1			ENSG00000138231
HGNC:2698	DBT	dihydrolipoamide branched chain transacylase E2			ENSG00000137992
HGNC:33185	DBX1	developing brain homeobox 1			ENSG00000109851
HGNC:33186	DBX2	developing brain homeobox 2		FLJ16139	ENSG00000185610
HGNC:30911	DCAF1	DDB1 and CUL4 associated factor 1	VPRBP	KIAA0800, MGC102804	ENSG00000145041
HGNC:20229	DCAF4	DDB1 and CUL4 associated factor 4	WDR21, WDR21A	DKFZp434K114	ENSG00000119599
HGNC:27723	DCAF4L1	DDB1 and CUL4 associated factor 4 like 1	WDR21B		ENSG00000182308
HGNC:26657	DCAF4L2	DDB1 and CUL4 associated factor 4 like 2	WDR21C		ENSG00000176566
HGNC:20224	DCAF5	DDB1 and CUL4 associated factor 5	WDR22	BCRP2, D14S1461E, BCRG2, KIAA1824	ENSG00000139990
HGNC:30002	DCAF6	DDB1 and CUL4 associated factor 6	IQWD1	PC326	ENSG00000143164
HGNC:30915	DCAF7	DDB1 and CUL4 associated factor 7	WDR68	HAN11, SWAN-1	ENSG00000136485
HGNC:24891	DCAF8	DDB1 and CUL4 associated factor 8	WDR42A	H326, FLJ35857	ENSG00000132716
HGNC:31810	DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	WDR42B		ENSG00000226372
HGNC:31811	DCAF8L2	DDB1 and CUL4 associated factor 8 like 2	WDR42C		ENSG00000189186
HGNC:23686	DCAF10	DDB1 and CUL4 associated factor 10	WDR32	MGC10765, FLJ23201	ENSG00000122741
HGNC:20258	DCAF11	DDB1 and CUL4 associated factor 11	WDR23	PRO2389, GL014	ENSG00000100897
HGNC:19911	DCAF12	DDB1 and CUL4 associated factor 12	KIAA1892, WDR40A	DKFZP434O125, MGC1058, CT102, TCC52	ENSG00000198876
HGNC:29395	DCAF12L1	DDB1 and CUL4 associated factor 12 like 1	WDR40B	KIAA1892L	ENSG00000198889
HGNC:32950	DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	WDR40C		ENSG00000198354
HGNC:24535	DCAF13	DDB1 and CUL4 associated factor 13	WDSOF1	DKFZP564O0463, Gm83, HSPC064, Sof1	ENSG00000164934
HGNC:25095	DCAF15	DDB1 and CUL4 associated factor 15	C19orf72	MGC99481	ENSG00000132017
HGNC:25987	DCAF16	DDB1 and CUL4 associated factor 16	C4orf30	FLJ20280	ENSG00000163257
HGNC:25784	DCAF17	DDB1 and CUL4 associated factor 17	C2orf37	FLJ13096	ENSG00000115827
HGNC:26238	DCAKD	dephospho-CoA kinase domain containing		FLJ22955	ENSG00000172992
HGNC:24459	DCANP1	dendritic cell associated nuclear protein	C5orf20	DCNP1	ENSG00000251380
HGNC:21479	DCBLD1	discoidin, CUB and LCCL domain containing 1		MGC46341, dJ94G16.1	ENSG00000164465
HGNC:24627	DCBLD2	discoidin, CUB and LCCL domain containing 2		CLCP1, ESDN	ENSG00000057019
HGNC:2701	DCC	DCC netrin 1 receptor		IGDCC1, NTN1R1	ENSG00000187323
HGNC:14669	DCD	dermcidin		AIDD, PIF, DSEP, HCAP, DCD-1	ENSG00000161634
HGNC:20625	DCDC1	doublecortin domain containing 1			ENSG00000170959
HGNC:18141	DCDC2	doublecortin domain containing 2	DFNB66	RU2, KIAA1154, DCDC2A, NPHP19	ENSG00000146038
HGNC:32576	DCDC2B	doublecortin domain containing 2B			ENSG00000222046
HGNC:32696	DCDC2C	doublecortin domain containing 2C			ENSG00000214866
HGNC:24799	DCDC5	doublecortin domain containing 5		FLJ46154	
HGNC:13681	DCHS1	dachsous cadherin-related 1	CDH25, PCDH16	FIB1, KIAA1773, FLJ11790, CDHR6	ENSG00000166341
HGNC:23111	DCHS2	dachsous cadherin-related 2	CDH27, PCDH23	CDHJ, FLJ20047, PCDHJ, CDHR7	ENSG00000197410
HGNC:2704	DCK	deoxycytidine kinase			ENSG00000156136
HGNC:2700	DCLK1	doublecortin like kinase 1	DCAMKL1	KIAA0369, DCLK, DCDC3A	ENSG00000133083
HGNC:19002	DCLK2	doublecortin like kinase 2	DCAMKL2	MGC45428, DCDC3, DCDC3B, DCK2	ENSG00000170390
HGNC:19005	DCLK3	doublecortin like kinase 3	DCAMKL3	KIAA1765, DCDC3C	ENSG00000163673
HGNC:17660	DCLRE1A	DNA cross-link repair 1A		SNM1, PSO2, KIAA0086, hSNM1	ENSG00000198924
HGNC:17641	DCLRE1B	DNA cross-link repair 1B		SNM1B, FLJ12810, FLJ13998, APOLLO	ENSG00000118655
HGNC:17642	DCLRE1C	DNA cross-link repair 1C	SCIDA	ARTEMIS, FLJ11360, SNM1C, A-SCID	ENSG00000152457
HGNC:2705	DCN	decorin		DSPG2, SLRR1B	ENSG00000011465
HGNC:18714	DCP1A	decapping mRNA 1A		HSA275986, SMIF, SMAD4IP1	ENSG00000272886
HGNC:24451	DCP1B	decapping mRNA 1B		FLJ31638	ENSG00000151065
HGNC:24452	DCP2	decapping mRNA 2		NUDT20	ENSG00000172795
HGNC:29812	DCPS	decapping enzyme, scavenger		HSPC015, HINT-5, HSL1	ENSG00000110063
HGNC:26539	DCST1	DC-STAMP domain containing 1		FLJ32785	ENSG00000163357
HGNC:26562	DCST2	DC-STAMP domain containing 2		FLJ32934	ENSG00000163354
HGNC:18549	DCSTAMP	dendrocyte expressed seven transmembrane protein	TM7SF4	DC-STAMP, FIND	ENSG00000164935
HGNC:2709	DCT	dopachrome tautomerase	TYRP2		ENSG00000080166
HGNC:2710	DCTD	dCMP deaminase			ENSG00000129187
HGNC:2711	DCTN1	dynactin subunit 1			ENSG00000204843
HGNC:2712	DCTN2	dynactin subunit 2		RBP50, DCTN-50	ENSG00000175203
HGNC:2713	DCTN3	dynactin subunit 3		DCTN-22	ENSG00000137100
HGNC:15518	DCTN4	dynactin subunit 4			ENSG00000132912
HGNC:24594	DCTN5	dynactin subunit 5		MGC3248, p25	ENSG00000166847
HGNC:16964	DCTN6	dynactin subunit 6		WS-3	ENSG00000104671
HGNC:28777	DCTPP1	dCTP pyrophosphatase 1		MGC5627, RS21C6, CDA03, XTP3TPA	ENSG00000179958
HGNC:18184	DCUN1D1	defective in cullin neddylation 1 domain containing 1		RP42, SCRO, DCUN1L1, Tes3, SCCRO	ENSG00000043093
HGNC:20328	DCUN1D2	defective in cullin neddylation 1 domain containing 2	C13orf17	FLJ10704, FLJ20092	ENSG00000150401
HGNC:28734	DCUN1D3	defective in cullin neddylation 1 domain containing 3		MGC48972, FLJ41725, DKFZp686O0290, SCCRO3	ENSG00000188215
HGNC:28998	DCUN1D4	defective in cullin neddylation 1 domain containing 4		KIAA0276	ENSG00000109184
HGNC:28409	DCUN1D5	defective in cullin neddylation 1 domain containing 5		MGC2714, FLJ32431	ENSG00000137692
HGNC:2714	DCX	doublecortin		SCLH, DC, LISX, DBCN, XLIS	ENSG00000077279
HGNC:18985	DCXR	dicarbonyl and L-xylulose reductase		KIDCR, DCR, SDR20C1	ENSG00000169738
HGNC:28360	DDA1	DET1 and DDB1 associated 1	C19orf58	PCIA1, MGC2594	ENSG00000130311
HGNC:2715	DDAH1	dimethylarginine dimethylaminohydrolase 1		DDAH	ENSG00000153904
HGNC:2716	DDAH2	dimethylarginine dimethylaminohydrolase 2		G6A	ENSG00000213722
HGNC:2717	DDB1	damage specific DNA binding protein 1			ENSG00000167986
HGNC:2718	DDB2	damage specific DNA binding protein 2		DDBB, UV-DDB2, FLJ34321, XPE	ENSG00000134574
